OTU_ID;spongeEMP_enriched;sponge
OTU157;no;Sf
OTU217;no;Sf
OTU184;no;Sf
OTU158;no;Sf
OTU259;no;Sf
OTU369;no;Sf
OTU191;no;Sf
OTU205;no;Sf
OTU4;no;Sf
OTU186;no;Sf
OTU219;no;Sf
OTU140;no;Sf
OTU179;no;Sf
OTU185;no;Sf
OTU323;no;Sf
OTU208;no;Sf
OTU143;no;Sf
OTU198;no;Sf
OTU220;no;Sf
OTU197;no;Sf
OTU306;no;Sf
OTU187;no;Sf
OTU199;no;Sf
OTU150;no;Sf
OTU451;no;Sf
OTU454;yes;Sf
OTU146;yes;Sf
OTU138;yes;Sf
OTU337;yes;Sf
OTU137;yes;Sf
OTU144;yes;Sf
OTU156;yes;Sf
OTU229;yes;Sf
OTU145;yes;Sf
OTU160;yes;Sf
OTU215;yes;Sf
OTU171;yes;Sf
OTU209;yes;Sf
OTU269;yes;Sf
OTU176;yes;Sf
OTU230;yes;Sf
OTU168;yes;Sf
OTU136;yes;Sf
OTU151;yes;Sf
OTU139;yes;Sf
OTU154;yes;Sf
OTU155;yes;Sf
OTU286;yes;Sf
OTU147;yes;Sf
OTU159;yes;Sf
OTU190;yes;Sf
OTU200;yes;Sf
OTU226;yes;Sf
OTU193;yes;Sf
OTU153;yes;Sf
OTU163;yes;Sf
OTU239;yes;Sf
OTU235;yes;Sf
OTU195;yes;Sf
OTU210;yes;Sf
OTU354;yes;Sf
OTU182;yes;Sf
OTU224;yes;Sf
OTU192;yes;Sf
OTU167;yes;Sf
OTU214;yes;Sf
OTU221;yes;Sf
OTU246;yes;Sf
OTU330;yes;Sf
OTU335;yes;Sf
OTU242;yes;Sf
OTU161;yes;Sf
OTU148;yes;Sf
OTU141;yes;Sf
OTU250;yes;Sf
OTU172;yes;Sf
OTU164;yes;Sf
OTU178;yes;Sf
OTU288;yes;Sf
OTU274;yes;Sf
OTU236;yes;Sf
OTU196;yes;Sf
OTU180;yes;Sf
OTU162;yes;Sf
OTU189;yes;Sf
OTU183;yes;Sf
OTU135;yes;Sf
OTU149;yes;Sf
OTU465;yes;Sf
OTU29;no;Wb
OTU2;no;Wb
OTU4;no;Wb
OTU19;no;Wb
OTU6;no;Wb
OTU15;no;Wb
OTU60;no;Wb
OTU7;no;Wb
OTU134;no;Wb
OTU52;yes;Wb
OTU0;yes;Wb
OTU1;yes;Wb
OTU104;yes;Wb
OTU95;yes;Wb
OTU48;yes;Wb
OTU54;yes;Wb
OTU113;yes;Wb
OTU49;yes;Wb
OTU101;yes;Wb
OTU47;yes;Wb
OTU138;yes;Gb
OTU146;yes;Gb
OTU359;yes;Gb
OTU355;yes;Gb
OTU337;yes;Gb
OTU144;yes;Gb
OTU588;yes;Gb
OTU336;yes;Gb
OTU156;yes;Gb
OTU171;yes;Gb
OTU160;yes;Gb
OTU269;yes;Gb
OTU145;yes;Gb
OTU215;yes;Gb
OTU209;yes;Gb
OTU176;yes;Gb
OTU338;yes;Gb
OTU230;yes;Gb
OTU168;yes;Gb
OTU340;yes;Gb
OTU330;yes;Gb
OTU347;yes;Gb
OTU331;yes;Gb
OTU136;yes;Gb
OTU151;yes;Gb
OTU214;yes;Gb
OTU221;yes;Gb
OTU289;yes;Gb
OTU286;yes;Gb
OTU235;yes;Gb
OTU153;yes;Gb
OTU139;yes;Gb
OTU295;yes;Gb
OTU239;yes;Gb
OTU155;yes;Gb
OTU154;yes;Gb
OTU159;yes;Gb
OTU211;yes;Gb
OTU589;yes;Gb
OTU218;yes;Gb
OTU246;yes;Gb
OTU302;yes;Gb
OTU181;yes;Gb
OTU277;yes;Gb
OTU224;yes;Gb
OTU339;yes;Gb
OTU201;yes;Gb
OTU161;yes;Gb
OTU213;yes;Gb
OTU242;yes;Gb
OTU358;yes;Gb
OTU335;yes;Gb
OTU223;yes;Gb
OTU148;yes;Gb
OTU241;yes;Gb
OTU141;yes;Gb
OTU250;yes;Gb
OTU308;yes;Gb
OTU172;yes;Gb
OTU204;yes;Gb
OTU164;yes;Gb
OTU260;yes;Gb
OTU274;yes;Gb
OTU178;yes;Gb
OTU288;yes;Gb
OTU320;yes;Gb
OTU196;yes;Gb
OTU236;yes;Gb
OTU180;yes;Gb
OTU310;yes;Gb
OTU162;yes;Gb
OTU189;yes;Gb
OTU183;yes;Gb
OTU135;yes;Gb
OTU140;no;Gb
OTU143;no;Gb
OTU150;no;Gb
OTU157;no;Gb
OTU179;no;Gb
OTU185;no;Gb
OTU186;no;Gb
OTU198;no;Gb
OTU199;no;Gb
OTU202;no;Gb
OTU208;no;Gb
OTU217;no;Gb
OTU219;no;Gb
OTU227;no;Gb
OTU228;no;Gb
OTU280;no;Gb
OTU283;no;Gb
OTU297;no;Gb
OTU341;no;Gb
OTU377;no;Gb
OTU398;no;Gb
OTU4;no;Gb
OTU496;no;Gb
OTU274;yes;Gb