"","p1","o1","o2","o3","o4","md.Depth","md.unified_ID","md.Species"
"Gb1",-6889.54837909101,7575.33573524436,-9422.31154067208,4003.46504254256,937.210330501796,407,"Gb1","Geodia barretti"
"Gb10",-1573.34176511202,6555.33011099704,-12597.7647662586,-788.019415590002,-3051.16156425724,801,"Gb10","Geodia barretti"
"Gb12",5980.89956750635,1785.46212548229,-13500.561983723,40.400531930833,-139.605606763118,1238,"Gb12","Geodia barretti"
"Gb13",6946.33833983262,472.365713370394,-10270.845303496,1175.32744957683,-528.597607515914,1332,"Gb13","Geodia barretti"
"Gb14",9304.86939365615,-1199.59265037934,-10296.1383874885,7065.85645323825,9686.9054166589,1427,"Gb14","Geodia barretti"
"Gb15",-4893.00721144922,6933.43254452376,-11141.8368997238,2134.97161307083,-2716.17277067675,563,"Gb15","Geodia barretti"
"Gb17",-5566.38577336285,7487.36513687159,-8169.69834932685,509.083436278435,-4464.01590468103,557,"Gb17","Geodia barretti"
"Gb18",8472.64185052287,44.025728546159,-11063.3506809117,1716.01615940385,4623.53509854277,1370,"Gb18","Geodia barretti"
"Gb19",-3093.53154709166,12961.1817578794,-15264.8640529284,-11432.0084036276,-3648.67428505929,542,"Gb19","Geodia barretti"
"Gb2",-6040.89318423023,8824.97627320817,-9002.97767687437,2592.37605834961,-1201.2177911863,440,"Gb2","Geodia barretti"
"Gb20",9614.78050008648,-2150.30506559214,-14150.0343719053,7966.67905770021,10472.2848060687,1462,"Gb20","Geodia barretti"
"Gb21",-4851.6657910829,7578.44821266592,-12800.3607446998,166.58169892451,-2799.67303080204,528,"Gb21","Geodia barretti"
"Gb3",-4505.30203345567,7675.83324395767,-9026.72506006576,2993.70236454839,2402.54812082105,483,"Gb3","Geodia barretti"
"Gb7",-2972.03479070885,6409.93295984824,-12082.1576760671,-935.947815066955,-2965.00729372127,667,"Gb7","Geodia barretti"
"Gb8",-2323.61943411974,7720.88884790847,-12502.5054609917,56.0144200704465,-2489.41744083224,700,"Gb8","Geodia barretti"
"Gb9",-1678.13776294842,7596.5659405992,-13163.3667869221,-554.420563702408,-4956.52053786915,744,"Gb9","Geodia barretti"
"Sf1",-6276.50168717342,15976.6964601163,14545.0808690175,4354.45611343726,998.031937680253,483,"Sf1","Stryphnus fortis"
"Sf10",4654.9601856566,9518.65888738877,9342.40230275808,-2241.43061933383,-914.388001115155,1128,"Sf10","Stryphnus fortis"
"Sf11",4825.50946783679,9439.27176460421,10410.284759986,-2005.90021769743,-3427.98969911701,1189,"Sf11","Stryphnus fortis"
"Sf12",7450.23079158847,9691.86506288657,7949.11263180642,-3532.05298146031,126.064268288033,1324,"Sf12","Stryphnus fortis"
"Sf13",9547.63887733707,8075.62842507337,7504.75576744698,-1253.48860178267,-350.688058955718,1427,"Sf13","Stryphnus fortis"
"Sf14",10549.6857350173,3993.81158467675,3725.08159875727,-1469.75130018317,545.655292272234,1448,"Sf14","Stryphnus fortis"
"Sf15",11013.3628270104,7827.36376481405,9704.16290761788,-2934.75270182472,2380.80210794774,1476,"Sf15","Stryphnus fortis"
"Sf2",-3628.70002193729,12195.3836634378,12400.8629033916,3198.55030310773,2658.52118002346,572,"Sf2","Stryphnus fortis"
"Sf3",-3419.15014834267,14196.2945133637,15314.5514308606,1121.31427496993,4511.09026716253,627,"Sf3","Stryphnus fortis"
"Sf4",-1054.15395853377,11643.6308753254,13522.0023233218,1636.63376694704,1088.26869598876,733,"Sf4","Stryphnus fortis"
"Sf5",-1125.1306578266,11891.2691218841,11050.242078961,-3024.66618122609,-912.462649688295,829,"Sf5","Stryphnus fortis"
"Sf6",157.115512771321,12695.3866163604,13197.5249559914,-1013.72986117771,-2436.53140792997,899,"Sf6","Stryphnus fortis"
"Sf7",931.315681319418,11649.342240399,11551.7015394406,68.058108384115,-2814.19697455601,887,"Sf7","Stryphnus fortis"
"Wb1",-10232.2575772986,-9298.29390897714,3986.83320485544,-3345.337251744,12751.9210717912,244,"Wb1","Weberella bursa"
"Wb10",-613.19291686337,-11650.5116372483,2012.97721061062,4504.93218286073,1549.88352727107,820,"Wb10","Weberella bursa"
"Wb11",-697.684750981953,-12532.4317640723,2457.93147524211,1030.33636004017,-1490.07231252494,876,"Wb11","Weberella bursa"
"Wb12",2076.07571781435,-16576.5809215879,450.4340086108,-1016.27180681054,2808.0727481946,918,"Wb12","Weberella bursa"
"Wb13",4799.63713321827,-19796.6671179785,1946.07836543337,-729.605173722868,-4380.60993280337,1061,"Wb13","Weberella bursa"
"Wb14",4155.19282541236,-15788.7914567329,667.45653305372,-4652.13530120027,-6743.19035536749,1104,"Wb14","Weberella bursa"
"Wb15",4076.80320646824,-21575.7743596275,3536.05165983109,1149.25682290148,-6692.64864310289,1107,"Wb15","Weberella bursa"
"Wb16",6877.27298254371,-17202.42438071,-1501.94664474447,-7557.04212945092,-1712.12304283455,1271,"Wb16","Weberella bursa"
"Wb17",-3745.6717604236,-13878.8019473566,4280.40021488655,767.817255793378,-4241.33745538447,645,"Wb17","Weberella bursa"
"Wb2",-8908.66901480879,-9638.26971424233,-894.264286978348,-17377.3241271586,10691.161823665,331,"Wb2","Weberella bursa"
"Wb3",-6109.40491854402,-13561.9842754529,3865.01980039959,3041.15350156789,1924.0441335169,441,"Wb3","Weberella bursa"
"Wb4",-5552.02895623569,-16245.1479237821,6290.14868992594,5727.94245147351,1702.94289617637,471,"Wb4","Weberella bursa"
"Wb5",-5575.18229398772,-9931.73077895636,6418.95931395322,10350.5367862456,-2681.6355460066,487,"Wb5","Weberella bursa"
"Wb6",-5164.44412483586,-15217.5554178651,4831.91115489698,-1384.67182497623,-4512.03239007559,560,"Wb6","Weberella bursa"
"Wb7",-2885.93175285137,-9970.34619632198,803.568502130281,-3606.94293828952,5650.68782861492,632,"Wb7","Weberella bursa"
"Wb8",-2058.75838230146,-12200.5377945499,5086.17447059137,3484.03700266229,-5239.66124836007,668,"Wb8","Weberella bursa"
