OTU_ID;Kingdom;Phylum;Class;Order;Family;Genus
196900220;Bacteria; Acidobacteria; Subgroup_21; uncultured_bacterium; ; 
196900238;Bacteria; Poribacteria; uncultured_bacterium; ; ; 
196900248;Bacteria; Acidobacteria; Solibacteres; Solibacterales; Solibacteraceae_(Subgroup_3); PAUC26f
196900315;Bacteria; Chloroflexi; SAR202_clade; ; ; 
196900317;Bacteria; Actinobacteria; Thermoleophilia; Gaiellales; uncultured; uncultured_bacterium
196900351;Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; OM1_clade; uncultured_bacterium
196900353;Bacteria; Chloroflexi; SAR202_clade; uncultured_Chloroflexi_bacterium; ; 
196900365;Bacteria; Acidobacteria; Subgroup_9; uncultured_bacterium; ; 
196900367;Bacteria; Chloroflexi; SAR202_clade; ; ; 
196900382;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900387;Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
196900392;Bacteria; Chloroflexi; TK10; ; ; 
196900399;Bacteria; Nitrospinae; MD2896-B214; uncultured_proteobacterium; ; 
196900409;Bacteria; Chloroflexi; JG30-KF-CM66; ; ; 
196900424;Bacteria; Chloroflexi; TK10; uncultured_Chloroflexi_bacterium; ; 
196900445;Bacteria; Acidobacteria; Subgroup_15; uncultured_bacterium; ; 
196900473;Bacteria; Acidobacteria; Subgroup_21; uncultured_bacterium; ; 
196900476;Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; Sva0996_marine_group; uncultured_bacterium
196900515;Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
196900539;Bacteria; Acidobacteria; Subgroup_21; uncultured_bacterium; ; 
196900546;Bacteria; Acidobacteria; Subgroup_6; ; ; 
196900588;Bacteria; Acidobacteria; Subgroup_9; uncultured_bacterium; ; 
196900619;Bacteria; Gemmatimonadetes; BD2-11_terrestrial_group; uncultured_bacterium; ; 
19690041;Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Porticoccaceae; SAR92_clade
19690083;Archaea; Thaumarchaeota; Marine_Group_I; Unknown_Order; Unknown_Family; Candidatus_Nitrosopumilus
196900173;Bacteria; Proteobacteria; Deltaproteobacteria; Desulfurellales; Desulfurellaceae; G55
196900240;Bacteria; Proteobacteria; Gammaproteobacteria; uncultured; uncultured_bacterium; 
196900244;Bacteria; Proteobacteria; Gammaproteobacteria; uncultured; uncultured_bacterium; 
196900299;Bacteria; Chloroflexi; SAR202_clade; uncultured_Chloroflexus_sp.; ; 
196900373;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900384;Bacteria; Gemmatimonadetes; BD2-11_terrestrial_group; ; ; 
196900446;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900461;Bacteria; Proteobacteria; Deltaproteobacteria; Desulfurellales; Desulfurellaceae; H16
196900494;Bacteria; Chloroflexi; SAR202_clade; ; ; 
196900527;Bacteria; Chloroflexi; TK10; uncultured_Chloroflexi_bacterium; ; 
196900533;Bacteria; Acidobacteria; Subgroup_21; ; ; 
196900592;Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured
196900614;Bacteria; Gemmatimonadetes; BD2-11_terrestrial_group; uncultured_bacterium; ; 
19690059;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; ; 
19690080;Bacteria; Proteobacteria; Alphaproteobacteria; SAR11_clade; Surface_1; 
196900152;Bacteria; Nitrospirae; Nitrospira; Nitrospirales; Nitrospiraceae; Nitrospira
196900188;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; uncultured_proteobacterium; 
196900206;Bacteria; Acidobacteria; Subgroup_6; uncultured_bacterium; ; 
196900256;Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured
196900270;Bacteria; Proteobacteria; Gammaproteobacteria; uncultured; uncultured_bacterium; 
196900285;Bacteria; Proteobacteria; Gammaproteobacteria; uncultured; uncultured_bacterium; 
196900328;Bacteria; Acidobacteria; Subgroup_5; ; ; 
196900369;Bacteria; PAUC34f; uncultured_bacterium; ; ; 
196900372;Bacteria; Chloroflexi; SAR202_clade; ; ; 
196900376;Bacteria; Chloroflexi; TK10; uncultured_bacterium; ; 
196900388;Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; OM182_clade; 
196900410;Bacteria; Chloroflexi; TK10; uncultured_Chloroflexi_bacterium; ; 
196900414;Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; OM1_clade; uncultured_bacterium
196900416;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900420;Bacteria; Chloroflexi; Caldilineae; Caldilineales; Caldilineaceae; uncultured
196900495;Bacteria; Bacteroidetes; Bacteroidetes_Incertae_Sedis; Order_II; Rhodothermaceae; uncultured
196900498;Bacteria; Acidobacteria; Subgroup_9; uncultured_bacterium; ; 
196900505;Bacteria; Acidobacteria; Subgroup_9; uncultured_bacterium; ; 
196900509;Bacteria; Acidobacteria; Solibacteres; Solibacterales; Solibacteraceae_(Subgroup_3); PAUC26f
196900514;Bacteria; Acidobacteria; Subgroup_9; ; ; 
196900517;Bacteria; Acidobacteria; Subgroup_6; uncultured_bacterium; ; 
196900520;Bacteria; Acidobacteria; Subgroup_21; uncultured_bacterium; ; 
196900522;Bacteria; Acidobacteria; Subgroup_6; ; ; 
196900537;NA; ; ; ; ; 
196900538;Bacteria; Acidobacteria; Subgroup_21; uncultured_bacterium; ; 
196900590;Bacteria; Acidobacteria; Solibacteres; Solibacterales; Solibacteraceae_(Subgroup_3); 
196900594;Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
196900598;Bacteria; Acidobacteria; Subgroup_6; ; ; 
196900603;Bacteria; Acidobacteria; Subgroup_26; uncultured_Acidobacteria_bacterium; ; 
196900608;Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; OM182_clade; 
196900620;Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured
196900631;Bacteria; Acidobacteria; Subgroup_6; uncultured_bacterium; ; 
19690012;Bacteria; Proteobacteria; Alphaproteobacteria; SAR11_clade; Surface_1; 
19690056;Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; NS4_marine_group
19690064;Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Planctomycetaceae; uncultured
196900169;Bacteria; Acidobacteria; Subgroup_6; uncultured_bacterium; ; 
196900212;Bacteria; PAUC34f; uncultured_gamma_proteobacterium; ; ; 
196900261;Bacteria; Chloroflexi; SAR202_clade; ; ; 
196900272;Bacteria; Acidobacteria; Subgroup_6; ; ; 
196900304;Bacteria; Acidobacteria; Subgroup_9; uncultured_bacterium; ; 
196900306;Bacteria; Proteobacteria; Gammaproteobacteria; oI89A_clade; uncultured_bacterium; 
196900332;Bacteria; Acidobacteria; Subgroup_6; ; ; 
196900375;Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured
196900381;Bacteria; Actinobacteria; Thermoleophilia; Gaiellales; uncultured; uncultured_bacterium
196900386;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900393;Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; OM1_clade; uncultured_bacterium
196900408;Bacteria; Chloroflexi; JG30-KF-CM66; ; ; 
196900467;Bacteria; Chloroflexi; TK10; uncultured_bacterium; ; 
196900518;Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
196900528;Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
196900531;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900551;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900600;Bacteria; Acidobacteria; Subgroup_6; uncultured_bacterium; ; 
196900604;Bacteria; Acidobacteria; Subgroup_6; ; ; 
196900611;Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; Sva0996_marine_group; uncultured_bacterium
196900612;Bacteria; Chloroflexi; S085; ; ; 
19690010;Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Halomonas
19690011;Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella
19690021;Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Rubritaleaceae; Rubritalea
19690068;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; ; 
19690082;Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; ; 
19690090;Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; Roseibacillus
196900103;Archaea; Thaumarchaeota; Marine_Group_I; Unknown_Order; Unknown_Family; Candidatus_Nitrosopelagicus
196900114;Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Planctomycetaceae; Pir4_lineage
196900166;Bacteria; Chloroflexi; SAR202_clade; ; ; 
196900281;Bacteria; Chloroflexi; TK10; ; ; 
196900343;Bacteria; Gemmatimonadetes; BD2-11_terrestrial_group; uncultured_bacterium; ; 
196900371;Bacteria; Chloroflexi; TK10; uncultured_bacterium; ; 
196900374;Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; TK34; uncultured_bacterium
196900402;Bacteria; Chloroflexi; SAR202_clade; ; ; 
196900426;Bacteria; Acidobacteria; Subgroup_21; uncultured_bacterium; ; 
196900438;Bacteria; Gemmatimonadetes; BD2-11_terrestrial_group; uncultured_bacterium; ; 
196900468;Bacteria; Acidobacteria; Solibacteres; Solibacterales; Solibacteraceae_(Subgroup_3); PAUC26f
196900472;Bacteria; PAUC34f; uncultured_bacterium; ; ; 
196900497;Bacteria; Nitrospinae; MD2898-B26; uncultured_bacterium; ; 
196900526;Bacteria; Acidobacteria; Subgroup_13; ; ; 
196900532;Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
196900547;Bacteria; Chloroflexi; SAR202_clade; uncultured_Chloroflexi_bacterium; ; 
196900561;Bacteria; Chloroflexi; JG30-KF-CM66; uncultured_Chloroflexi_bacterium; ; 
196900565;Bacteria; Acidobacteria; Subgroup_6; ; ; 
196900571;Bacteria; Acidobacteria; Subgroup_17; ; ; 
196900573;Bacteria; Acidobacteria; Subgroup_21; uncultured_bacterium; ; 
196900580;Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; AT-s3-44; uncultured_bacterium
1969005;Bacteria; Cyanobacteria; Chloroplast; uncultured_bacterium; ; 
19690048;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; ; 
19690061;Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; uncultured
19690066;Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Planctomycetaceae; Blastopirellula
19690097;Archaea; Thaumarchaeota; Marine_Group_I; ; ; 
19690098;Bacteria; Verrucomicrobia; Arctic97B-4_marine_group; uncultured_bacterium; ; 
19690099;Bacteria; Proteobacteria; Gammaproteobacteria; Salinisphaerales; Salinisphaeraceae; ZD0417_marine_group
196900102;Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; 
196900104;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; ; 
196900112;Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; Roseibacillus
196900113;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; ; 
196900131;Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter
196900232;Bacteria; Acidobacteria; Subgroup_21; uncultured_bacterium; ; 
196900267;Bacteria; Chloroflexi; SAR202_clade; ; ; 
196900278;Bacteria; Gemmatimonadetes; BD2-11_terrestrial_group; uncultured_bacterium; ; 
196900290;Bacteria; Poribacteria; uncultured_bacterium; ; ; 
196900324;Bacteria; Chloroflexi; SAR202_clade; uncultured_Chloroflexi_bacterium; ; 
196900362;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900380;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900407;Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; ; 
196900421;Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured
196900444;Bacteria; Acidobacteria; Subgroup_17; ; ; 
196900457;Archaea; Thaumarchaeota; Marine_Group_I; Unknown_Order; Unknown_Family; Candidatus_Nitrosopumilus
196900463;Bacteria; Chloroflexi; SAR202_clade; uncultured_Chloroflexus_sp.; ; 
196900506;Bacteria; Chloroflexi; SAR202_clade; ; ; 
196900523;Bacteria; PAUC34f; ; ; ; 
196900535;Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; uncultured; uncultured_bacterium
196900540;Bacteria; Chloroflexi; JG30-KF-CM66; ; ; 
196900552;Bacteria; Nitrospinae; MD2896-B214; uncultured_bacterium; ; 
196900554;Bacteria; Acidobacteria; Subgroup_9; uncultured_bacterium; ; 
196900558;Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
196900563;Bacteria; Chloroflexi; SAR202_clade; uncultured_eubacterium_H1.2.f; ; 
196900578;Bacteria; Acidobacteria; Subgroup_9; uncultured_bacterium; ; 
196900613;Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bdellovibrionaceae; Bdellovibrio
196900616;Bacteria; Chloroflexi; TK10; uncultured_Chloroflexi_bacterium; ; 
196900624;Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
196900630;NA; ; ; ; ; 
196900661;Bacteria; Chloroflexi; S085; ; ; 
1969007;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; ; 
19690018;Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Planctomycetaceae; Blastopirellula
19690037;Bacteria; Spirochaetae; Spirochaetes; Spirochaetales; Spirochaetaceae; Spirochaeta_2
19690054;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; ; 
19690069;Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; NS5_marine_group
19690095;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; ; 
196900100;Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; SAR86_clade; 
196900117;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; ; 
196900118;Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; OM182_clade; 
196900124;Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Planctomycetaceae; uncultured
196900132;Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter
196900254;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900300;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900322;Bacteria; Chloroflexi; SAR202_clade; uncultured_Thermomicrobium_sp.; ; 
196900326;Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Halieaceae; Haliea
196900434;Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Granulosicoccaceae; Granulosicoccus
196900441;Bacteria; Gemmatimonadetes; BD2-11_terrestrial_group; uncultured_bacterium; ; 
196900442;Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Planktomarina
196900447;Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; Acidimicrobiaceae; uncultured
196900452;Bacteria; Proteobacteria; Gammaproteobacteria; oI89A_clade; uncultured_bacterium; 
196900503;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900516;Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; JTB255_marine_benthic_group; 
196900519;Bacteria; Acidobacteria; Subgroup_6; ; ; 
196900536;Bacteria; Chloroflexi; SAR202_clade; uncultured_eubacterium_H1.2.f; ; 
196900550;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900555;Bacteria; Acidobacteria; Subgroup_9; ; ; 
196900599;Bacteria; Acidobacteria; Solibacteres; Solibacterales; Solibacteraceae_(Subgroup_3); PAUC26f
196900601;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; uncultured_bacterium; 
196900623;NA; ; ; ; ; 
196900628;Bacteria; Acidobacteria; Subgroup_6; ; ; 
196900635;NA; ; ; ; ; 
196900648;Bacteria; Chloroflexi; JG30-KF-CM66; ; ; 
196900655;Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; fCM-B-15; 
196900656;Bacteria; Gemmatimonadetes; BD2-11_terrestrial_group; uncultured_bacterium; ; 
196900658;Bacteria; Acidobacteria; Subgroup_26; uncultured_bacterium; ; 
196900662;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900663;Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured
196900667;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900672;Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; 
1969003;Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; uncultured
1969008;Bacteria; Actinobacteria; Actinobacteria; PeM15; ; 
19690013;Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; 
19690017;Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Halomonas
19690025;Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bdellovibrionaceae; Bdellovibrio
19690030;Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Planctomycetaceae; Blastopirellula
19690034;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; ; 
19690046;Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; uncultured
19690049;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; ; 
19690050;Bacteria; Proteobacteria; Gammaproteobacteria; E01-9C-26_marine_group; ; 
19690053;Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Planctomycetaceae; uncultured
19690057;Bacteria; Planctomycetes; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; FS140-16B-02_marine_group
19690070;Bacteria; Planctomycetes; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; FS140-16B-02_marine_group
19690074;Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Coxiella
19690081;NA; ; ; ; ; 
19690087;Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Planctomycetaceae; uncultured
19690096;Bacteria; SBR1093; uncultured_Desulfohalobiaceae_bacterium; ; ; 
196900106;Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; 
196900127;Archaea; Thaumarchaeota; Marine_Group_I; ; ; 
196900129;Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Pseudohongiella
196900133;Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter
196900165;Bacteria; Gemmatimonadetes; BD2-11_terrestrial_group; uncultured_bacterium; ; 
196900273;Bacteria; Chloroflexi; SAR202_clade; ; ; 
196900298;Bacteria; Chloroflexi; SAR202_clade; ; ; 
196900309;Bacteria; Tectomicrobia; ; ; ; 
196900321;Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured
196900334;Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; 
196900379;Bacteria; Acidobacteria; Subgroup_9; ; ; 
196900385;Bacteria; Chloroflexi; TK10; uncultured_bacterium; ; 
196900389;Bacteria; Chloroflexi; TK10; uncultured_Chloroflexus_sp.; ; 
196900403;Bacteria; Chloroflexi; SAR202_clade; uncultured_bacterium; ; 
196900405;Bacteria; Chloroflexi; SAR202_clade; ; ; 
